step 0: train loss 3.5875, val loss 3.5876
iter 17500: loss 0.3527, time 463.92ms, mfu 27.09%
iter 17550: loss 0.3625, time 465.62ms, mfu 27.10%
iter 17600: loss 0.3499, time 466.07ms, mfu 27.11%
iter 17650: loss 0.3565, time 469.64ms, mfu 27.10%
iter 17700: loss 0.3575, time 467.47ms, mfu 27.10%
iter 17750: loss 0.3574, time 464.45ms, mfu 27.12%
iter 17800: loss 0.3633, time 461.57ms, mfu 27.16%
iter 17850: loss 0.3633, time 463.73ms, mfu 27.18%
iter 17900: loss 0.3635, time 467.29ms, mfu 27.17%
iter 17950: loss 0.3555, time 469.58ms, mfu 27.15%
iter 18000: loss 0.3635, time 466.23ms, mfu 27.16%
iter 18050: loss 0.3664, time 463.87ms, mfu 27.17%
iter 18100: loss 0.3586, time 462.70ms, mfu 27.20%
iter 18150: loss 0.3676, time 463.28ms, mfu 27.21%
iter 18200: loss 0.3633, time 467.41ms, mfu 27.20%
iter 18250: loss 0.3519, time 463.59ms, mfu 27.22%
iter 18300: loss 0.3540, time 461.22ms, mfu 27.25%
iter 18350: loss 0.3579, time 465.09ms, mfu 27.25%
iter 18400: loss 0.3678, time 469.17ms, mfu 27.22%
iter 18450: loss 0.3627, time 461.90ms, mfu 27.25%
iter 18500: loss 0.3666, time 465.13ms, mfu 27.25%
iter 18550: loss 0.3575, time 463.86ms, mfu 27.26%
iter 18600: loss 0.3653, time 465.92ms, mfu 27.25%
iter 18650: loss 0.3708, time 464.82ms, mfu 27.25%
iter 18700: loss 0.3521, time 464.46ms, mfu 27.26%
iter 18750: loss 0.3729, time 464.56ms, mfu 27.26%
iter 18800: loss 0.3587, time 462.38ms, mfu 27.28%
iter 18850: loss 0.3620, time 463.95ms, mfu 27.28%
iter 18900: loss 0.3576, time 465.84ms, mfu 27.27%
iter 18950: loss 0.3578, time 464.14ms, mfu 27.28%
iter 19000: loss 0.3568, time 465.24ms, mfu 27.28%
iter 19050: loss 0.3560, time 467.68ms, mfu 27.26%
iter 19100: loss 0.3580, time 464.61ms, mfu 27.26%
iter 19150: loss 0.3655, time 467.21ms, mfu 27.25%
iter 19200: loss 0.3623, time 464.54ms, mfu 27.25%
iter 19250: loss 0.3544, time 463.58ms, mfu 27.26%
iter 19300: loss 0.3642, time 463.01ms, mfu 27.27%
iter 19350: loss 0.3606, time 467.18ms, mfu 27.26%
iter 19400: loss 0.3726, time 463.68ms, mfu 27.27%
iter 19450: loss 0.3584, time 466.92ms, mfu 27.26%
iter 19500: loss 0.3592, time 464.61ms, mfu 27.26%
iter 19550: loss 0.3661, time 463.50ms, mfu 27.27%
iter 19600: loss 0.3663, time 466.49ms, mfu 27.26%
iter 19650: loss 0.3754, time 462.47ms, mfu 27.27%
iter 19700: loss 0.3577, time 463.53ms, mfu 27.28%
iter 19750: loss 0.3818, time 458.88ms, mfu 27.32%
iter 19800: loss 0.3569, time 467.84ms, mfu 27.29%
iter 19850: loss 0.3627, time 462.49ms, mfu 27.31%
iter 19900: loss 0.3528, time 463.32ms, mfu 27.31%
iter 19950: loss 0.3538, time 464.73ms, mfu 27.31%
step 20000: train loss 0.3567, val loss 0.3580
saving checkpoint to out-stockfish
iter 20000: loss 0.3489, time 10856.48ms, mfu 24.69%
iter 20050: loss 0.3603, time 454.56ms, mfu 25.01%
iter 20100: loss 0.3505, time 460.87ms, mfu 25.26%
iter 20150: loss 0.3546, time 453.21ms, mfu 25.53%
iter 20200: loss 0.3654, time 454.19ms, mfu 25.77%
iter 20250: loss 0.3538, time 454.17ms, mfu 25.99%
iter 20300: loss 0.3629, time 454.60ms, mfu 26.18%
iter 20350: loss 0.3419, time 459.32ms, mfu 26.32%
iter 20400: loss 0.3547, time 467.02ms, mfu 26.40%
iter 20450: loss 0.3494, time 456.02ms, mfu 26.54%
iter 20500: loss 0.3568, time 454.45ms, mfu 26.68%
iter 20550: loss 0.3576, time 453.91ms, mfu 26.80%
iter 20600: loss 0.3601, time 453.52ms, mfu 26.92%
iter 20650: loss 0.3469, time 475.52ms, mfu 26.89%
iter 20700: loss 0.3618, time 454.31ms, mfu 26.99%
iter 20750: loss 0.3554, time 457.08ms, mfu 27.07%
iter 20800: loss 0.3523, time 455.00ms, mfu 27.15%
iter 20850: loss 0.3596, time 464.02ms, mfu 27.16%
iter 20900: loss 0.3605, time 457.01ms, mfu 27.22%
iter 20950: loss 0.3552, time 454.38ms, mfu 27.29%
iter 21000: loss 0.3550, time 460.31ms, mfu 27.31%
iter 21050: loss 0.3566, time 456.42ms, mfu 27.36%
iter 21100: loss 0.3536, time 454.93ms, mfu 27.41%
iter 21150: loss 0.3457, time 460.01ms, mfu 27.43%
